tweet,user,location,date
"😀: The mood of riders improved in the last hour. Analyzed 19 tweets, with 61.67% feeling Joy. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-16 16:02:44
RT @shefw: Great call to action (#CTA) from ⁦@npscience⁩ #force2019 https://t.co/0mzS79313m,mandosally,"Worcester, MA",2019-10-16 16:01:37
Looking for good #calltoaction #examples? Follow this #guide to make sure you're building the best #CTA for your cu… https://t.co/kisY388J8I,newoldstamp,,2019-10-16 16:00:30
"[SURVEY]  After an initial search strategy leads a prospect to resources, what is the best CALL-TO-ACTION you have… https://t.co/6wWkcR0ESN",RPCStrategies,"West Palm Beach, FL",2019-10-16 16:00:18
"This Christmas, share the grace and peace of Jesus in a special way with the women in your church—and in your commu… https://t.co/YkWW1JI5m0",CTAinc,"Fenton, MO",2019-10-16 16:00:12
RT @shefw: Great call to action (#CTA) from ⁦@npscience⁩ #force2019 https://t.co/0mzS79313m,yoyehudi,"Cambridge, UK",2019-10-16 15:58:02
Great call to action (#CTA) from ⁦@npscience⁩ #force2019 https://t.co/0mzS79313m,shefw,"Seattle, WA",2019-10-16 15:57:49
Charges dropped against bus driver in locked passenger case - Chicago Tribune: https://t.co/X0RyjyL6hr #CTA #Metra… https://t.co/F7WdG2jetB,MyTransit_CH,"Chicago, IL",2019-10-16 15:50:17
"RT @jessicajo719: so top 10 isn’t wearing columbia nor sitting on the stage? damn senior year really is a big ass joke, especially to the k…",VpPerales,Laid up with ma baby,2019-10-16 15:18:00
"😒: The mood of riders worsened in the last hour. Analyzed 28 tweets, with 87.74% feeling Tentative. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-16 15:02:51
"RT @TeelaResists: 🥴🥴#CTA🥴🥴

@Act4Prog 

The First Amendment says Congress shall make no law respecting an establishment of religion..."" 

a…",IsaiahAProphet,geeksresist HQ (In a shire) ,2019-10-16 14:55:33
"RT @TeelaResists: 🥴🥴#CTA🥴🥴

@Act4Prog 

The First Amendment says Congress shall make no law respecting an establishment of religion..."" 

a…",a_mccreight,"Springfield, IL",2019-10-16 14:33:45
"😃: The overall mood of riders improved in the last 60 minutes. Analyzed 37 tweets, with 58.76% feeling Cheerful.… https://t.co/xGhzUjNCvO",CtaMood,"Chicago, IL",2019-10-16 14:02:36
"#RT @InteractiveVid2: $VERB @VerbTech_Co #ConversionRate #ConversionRates #CTA
#BuiltInCRM… https://t.co/0eaxgSXv4v",mchlbtts,Tar Heal State,2019-10-16 14:01:45
"#CTA Purple and Brown line trains are stopped..
#ChicagoTraffic 
@WBBMNewsradio https://t.co/bDoxxzyGb0",WBBM780Traffic,"Chicago, IL",2019-10-16 13:47:43
"Me: 👀
Bus Driver: 👀
Me: why its not wor...
Bus driver: go sit down😒 
#cta https://t.co/fm77E5VKbB",_itsconstanceee,"Kochi-ken, Japan",2019-10-16 13:47:17
"RT @TeelaResists: 🥴🥴#CTA🥴🥴

@Act4Prog 

The First Amendment says Congress shall make no law respecting an establishment of religion..."" 

a…",DebbieGT18,"Pennsylvania, USA",2019-10-16 13:36:41
"I like riding the #CTA

Heroes and villains of the CTA https://t.co/u97PCQjSRD",HalConick,Chicago,2019-10-16 13:15:02
Metra testing new security screenings at downtown Chicago stations - WGN TV Chicago: https://t.co/qtW8ImhBmf #CTA… https://t.co/3CwcOcAkAE,MyTransit_CH,"Chicago, IL",2019-10-16 13:13:37
"RT @Intelegain: Wondering how an effective Call-to-action button can help you increase conversion for your website and App? 

Read more - h…",SIntelegain,"Navi Mumbai, India",2019-10-16 13:13:30
"Abdomen #CTA: a stent (#endograft) in an aortic aneurysm. #radiologist #radiology #pain

This information is for ed… https://t.co/xkQcnIg06f",NBRadiologists,"Fort Lauderdale, Florida",2019-10-16 13:07:54
"Read the Key Points for Effective #ContentManagement
https://t.co/C0yS6Bb3ME

#KTS #WednesdayMarketingWisdom… https://t.co/wYWZbSIGSj",KTSArchives,India,2019-10-16 13:04:47
"RT @InteractiveVid2: $VERB @VerbTech_Co #ConversionRate #ConversionRates #CTA
#BuiltInCRM #ConversionRateOptimization #Conversions
https://…",MrJohn2019,United States,2019-10-16 13:03:52
"😒: The general mood fell for the worst in the last hour. Analyzed 20 tweets, with 83.3% feeling Agitated. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-16 13:02:04
"RT @TeelaResists: 🥴🥴#CTA🥴🥴

@Act4Prog 

The First Amendment says Congress shall make no law respecting an establishment of religion..."" 

a…",gwscronce,,2019-10-16 12:43:07
"$VERB @VerbTech_Co #ConversionRate #ConversionRates #CTA
#BuiltInCRM #ConversionRateOptimization #Conversions… https://t.co/pEwpJ8zGq9",InteractiveVid2,"North Carolina, USA",2019-10-16 12:30:00
Bicyclist injured in crash with Florida school bus - Chicago Tribune: https://t.co/ZkEh1JeBus #CTA #Metra #Transit #Chicago #Transportation,MyTransit_CH,"Chicago, IL",2019-10-16 12:23:17
"Suburban Residents Fret About Possible Pace Route Eliminations, Say Public Meetings Are Convenient To Few - CBS Chi… https://t.co/5B5mQWW3cj",MyTransit_CH,"Chicago, IL",2019-10-16 12:23:16
"I’m not asking much on this hungover morning world, but could you please not smell like a stale cigarette and vomit? #CTA",matty_zaddy,"Chicago, IL",2019-10-16 12:04:52
"😀: Riders are feeling better than they did an hour ago. Analyzed 13 tweets, with 63.05% feeling Happy. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-16 12:00:43
"We are all busy, and this means it is all too easy for your prospects to put off any decision to engage with you. A… https://t.co/1IVrEf75WR",NeilFoley7,"Norwich, England",2019-10-16 11:52:01
#CTA BABY https://t.co/PgofKZpWOm,144Man,,2019-10-16 11:44:21
"RT @CtaMood: 😎: The general mood worsened over the past hour. Analyzed 10 tweets, with 58.49% feeling Positive. #Chicago #CTA #CTAMOOD",spark_radio_CHI,"Chicago, Illinois ",2019-10-16 11:03:11
"😎: The general mood worsened over the past hour. Analyzed 10 tweets, with 58.49% feeling Positive. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-16 11:02:36
"Your mother may have said ""A simple Thank you goes a long way."" That applies to customers as well. We all like to f… https://t.co/3UjJe3PZEH",boagworld,paul@boagworld.com,2019-10-16 11:00:52
RT @WGNtraffic: ⚠️ ATTENTION #CTA RED LINE RIDERS ⚠️ https://t.co/s64lHwtBbx,Matthew_26,"Illinois, USA",2019-10-16 10:59:23
"RT @TeelaResists: 🥴🥴#CTA🥴🥴

@Act4Prog 

The First Amendment says Congress shall make no law respecting an establishment of religion..."" 

a…",SooooOverTrump,"New Jersey, USA",2019-10-16 10:48:50
RT @WGNtraffic: ⚠️ ATTENTION #CTA RED LINE RIDERS ⚠️ https://t.co/s64lHwtBbx,KRAZY4BOANDHOPE,"Chicago, IL",2019-10-16 10:43:26
RT @WGNtraffic: ⚠️ ATTENTION #CTA RED LINE RIDERS ⚠️ https://t.co/s64lHwtBbx,WGNNews,"Chicago, IL",2019-10-16 10:39:00
⚠️ ATTENTION #CTA RED LINE RIDERS ⚠️ https://t.co/s64lHwtBbx,WGNtraffic,"Chicago, IL",2019-10-16 10:38:24
"#CTA #RedLine trains are stopped..
#ChicagoTraffic 
@WBBMNewsradio https://t.co/Fi0zsgvqsi",WBBM780Traffic,"Chicago, IL",2019-10-16 10:36:16
RT @lobsang_dhargye: #CTA Inter Department #basketball tournament begins https://t.co/UxH4S1z8lG,iSportsAnalysis,United Kingdom,2019-10-16 10:17:23
Chicago's electric scooter pilot program ends - Chicago Tribune: https://t.co/mPtWOHdWng #CTA #Metra #Transit #Chicago #Transportation,MyTransit_CH,"Chicago, IL",2019-10-16 10:13:30
Grant to help renovate 'Jim Crow' rail car in North Carolina - Chicago Tribune: https://t.co/5GPpqUN7m3 #CTA #Metra… https://t.co/DXvFgauXG0,MyTransit_CH,"Chicago, IL",2019-10-16 10:13:29
"RT @SFArchSummit: We're excited to begin announcing our AMAZING line up of speakers, starting with this elite group of thought-inspiring le…",sonali_takke,"Pune, India",2019-10-16 09:51:09
&gt;&gt;&gt; Ah good old Chi-Town... the halcyon day’s of Capone still ring crisp &amp; clear! #CTA #chicago #ChicagoPD… https://t.co/5KZOREZDLE,TomCuffe13,Chicago & New York City,2019-10-16 09:46:15
"Wondering how an effective Call-to-action button can help you increase conversion for your website and App? 

Read… https://t.co/QWkJBJdUAx",Intelegain,"Dallas, TX",2019-10-16 09:30:11
"RT @SFArchSummit: We're excited to begin announcing our AMAZING line up of speakers, starting with this elite group of thought-inspiring le…",goyal__sa,Pune,2019-10-16 09:27:00
Scooters in Chicago: What is the future for active transportation? - Crain's Chicago Business:… https://t.co/3sSIobaYC9,MyTransit_CH,"Chicago, IL",2019-10-16 08:38:29
Organizers of popular Iowa bike ride cut ties with newspaper - Chicago Tribune: https://t.co/Gcs2wvYJtr #CTA #Metra… https://t.co/jBESWyOQ68,MyTransit_CH,"Chicago, IL",2019-10-16 08:38:29
What Are the Steps of Conversion Optimization? https://t.co/u29RXP7KrC #ConversionRateOptimization… https://t.co/kCDKW2qoKU,Neolatry,"Potters Bar, Hertfordshire",2019-10-16 08:05:41
RT @MyTransit_CH: City of Wheaton Bicycle Advisory Commission met August 21 - Chicago City Wire: https://t.co/G4aaRFCadU #CTA #Metra #Trans…,WIOMAX_MD,United States,2019-10-16 07:37:38
"RT @jayeshtej: “How bad do you want it?”
If you are looking to learn from ‘The Mentors’ in the industry and serious about being a Real Arch…",HarshalaShewale,"Pune, Maharashtra",2019-10-16 07:25:11
"14: Damen Blue Line - 7 males fighting outside the #CTA station
#ChicagoScanner",ChiLivePD,Chicago,2019-10-16 06:49:03
City of Wheaton Bicycle Advisory Commission met August 21 - Chicago City Wire: https://t.co/G4aaRFCadU #CTA #Metra… https://t.co/WXIAfkWBzA,MyTransit_CH,"Chicago, IL",2019-10-16 06:18:30
"RT @jayeshtej: “How bad do you want it?”
If you are looking to learn from ‘The Mentors’ in the industry and serious about being a Real Arch…",bhaigadepuru,Pune,2019-10-16 06:12:46
Good Samaritan disarms man ‘walking around robbing people’ on Chicago train - WITI FOX 6 Milwaukee:… https://t.co/wv4tYhZiSC,MyTransit_CH,"Chicago, IL",2019-10-16 05:58:11
"RT @jessicajo719: so top 10 isn’t wearing columbia nor sitting on the stage? damn senior year really is a big ass joke, especially to the k…",king__sal,"Corpus Christi, TX",2019-10-16 05:32:30
"😀: The overall mood of riders improved in the last 60 minutes. Analyzed 19 tweets, with 61.74% feeling Joy. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-16 05:02:13
God Bless John Paul LaPierre #blueline #cta,hitthepick6,"Chicago, IL",2019-10-16 04:18:18
RT @MyTransit_CH: Hoosier transit provider? A look at expanded transit options in northwest Indiana - Streetsblog Chicago: https://t.co/9FX…,WIOMAX_MD,United States,2019-10-16 04:16:08
"RT @TeelaResists: 🥴🥴#CTA🥴🥴

@Act4Prog 

The First Amendment says Congress shall make no law respecting an establishment of religion..."" 

a…",Soccermom4FORCE,,2019-10-16 04:00:48
"RT @TeelaResists: 🥴🥴#CTA🥴🥴

@Act4Prog 

The First Amendment says Congress shall make no law respecting an establishment of religion..."" 

a…",knittinginny,"NJ, USA",2019-10-16 03:30:11
Hoosier transit provider? A look at expanded transit options in northwest Indiana - Streetsblog Chicago:… https://t.co/eCaDVuJoOj,MyTransit_CH,"Chicago, IL",2019-10-16 03:23:28
Yang’s making this shit up that motorboatin son of a bitch. #DemDebate #CTA,CTABUS22,Chicago,2019-10-16 02:56:10
"So we can’t throw fucking elbows, Corey? #CTA #DemDebate",CTABUS22,Chicago,2019-10-16 02:54:50
"RT @timdalliday: This Thursday will be the 8th anniversary of my living donor liver transplant.  Help me celebrate my ""liverversary"" by sig…",sleb116,"Peterborough,ON,Canada",2019-10-16 02:54:43
Ted Cruz who he? #DemDebate #CTA,CTABUS22,Chicago,2019-10-16 02:54:11
I met a woman named Deanna from South Carolina on @Tinder — Tom #needtoimpeach #DemDebate #CTA,CTABUS22,Chicago,2019-10-16 02:51:08
RT @CTABUS22: When is Ronan Farrow going to get to the bottom of why the lead singer of the band in the #Humira ad isn’t singing any actual…,deverja,Chicago,2019-10-16 02:46:32
When is Ronan Farrow going to get to the bottom of why the lead singer of the band in the #Humira ad isn’t singing… https://t.co/Tjz2vwA6Lv,CTABUS22,Chicago,2019-10-16 02:44:21
@DanteAtkins Spiders are gross ew. #CTA,CTABUS22,Chicago,2019-10-16 02:39:00
@JulianCastro @_DivideXZero You do have time to tweet don’t you. #CTA,CTABUS22,Chicago,2019-10-16 02:37:33
DON’T BE VAY-Guhhh. - Joe. #DemocraticDebate #DemDebate #CTA,CTABUS22,Chicago,2019-10-16 02:31:03
@realDonaldTrump You’re going to turn 90 in jail. #Impeachment #DemDebate #CTA,CTABUS22,Chicago,2019-10-16 02:24:31
Any one of these individuals would mutilate @realDonaldTrump in a debate. #DemocraticDebate #ImpeachTrumpNow #CTA,CTABUS22,Chicago,2019-10-16 02:21:30
Everyone needs to search AR-15 on Google then buy one from Amazon quick before the @TheDemocrats take over. #CTA #DemocraticDebate,CTABUS22,Chicago,2019-10-16 02:19:13
@BLL1060 Doctor of fucking love maybe. #CTA,CTABUS22,Chicago,2019-10-16 02:13:15
Anyone know how the lead singer of the band in the #Humira commercial is doing? Is her ass still pouring water on the half hour? #CTA,CTABUS22,Chicago,2019-10-16 02:12:13
"Eat a cheeseburger and shut up, Cory. Just kidding. #DemocraticDebate #CTA",CTABUS22,Chicago,2019-10-16 02:09:54
One room. No employers. — Tom. #DemocraticDebate #CTA,CTABUS22,Chicago,2019-10-16 02:08:34
"Andrew Yang is driving the fucking bus, bitches. #DeleteFacebook #DemocraticDebate #DemDebate4 #CTA",CTABUS22,Chicago,2019-10-16 02:07:23
Is Dr. Willie Wilson drunk? Asking for a bus. #CTA,CTABUS22,Chicago,2019-10-16 02:05:04
@FINALLEVEL Ouch T. Dropping motherfucking truth bombs on the bus. #CTA,CTABUS22,Chicago,2019-10-16 02:04:21
"😎: The general mood worsened over the past hour. Analyzed 22 tweets, with 61.73% feeling Hopeful. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-16 02:02:19
"RT @timdalliday: This Thursday will be the 8th anniversary of my living donor liver transplant.  Help me celebrate my ""liverversary"" by sig…",leaannewoods1,"Stirling-Rawdon, Ontario",2019-10-16 02:01:53
We invited the turkey to attack the Kurds. — Tulsi God Bless Her. #DemocraticDebate #CTA,CTABUS22,Chicago,2019-10-16 02:00:13
Guns don’t kill people. Whatever is embedded in the fabric on my seats kills people. #DemDebate #DemocraticDebate #CTA,CTABUS22,Chicago,2019-10-16 01:32:17
Black advocates call for expanding Chicago's scooter program with a focus on equity - Streetsblog Chicago:… https://t.co/at6FBeB8th,MyTransit_CH,"Chicago, IL",2019-10-16 01:23:34
"RT @timdalliday: This Thursday will be the 8th anniversary of my living donor liver transplant.  Help me celebrate my ""liverversary"" by sig…",cjmoorehead,Toronto,2019-10-16 01:18:01
@mollyfprince @AOC I’ll say it: shhhhhhhh. #CTA,CTABUS22,Chicago,2019-10-16 01:14:53
RT @CTABUS22: “Wahhhhh we’ve all suffered except Tom.” — @TheDemocrats #DemocraticDebate #DemDebate #CTA,a_sinning_saint,"Chicago, IL",2019-10-16 01:07:25
“Wahhhhh we’ve all suffered except Tom.” — @TheDemocrats #DemocraticDebate #DemDebate #CTA,CTABUS22,Chicago,2019-10-16 01:02:57
"🙂: There was a boost in mood over the past 60 minutes. Analyzed 34 tweets, with 73.85% feeling Happy. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-16 01:02:47
